funcid,dim,milestone,error
19,30,1,9.527289e+08
19,30,2,7.506384e+08
19,30,3,7.506384e+08
19,30,5,7.305682e+08
19,30,10,7.305682e+08
19,30,20,5.397161e+08
19,30,30,5.397161e+08
19,30,40,5.397161e+08
19,30,50,5.397161e+08
19,30,60,5.397161e+08
19,30,70,5.397161e+08
19,30,80,2.794313e+08
19,30,90,2.794313e+08
19,30,100,2.794313e+08
19,30,1,2.150172e+09
19,30,2,2.150172e+09
19,30,3,1.206516e+09
19,30,5,5.000428e+08
19,30,10,5.000428e+08
19,30,20,5.000428e+08
19,30,30,4.269195e+08
19,30,40,3.791017e+08
19,30,50,3.791017e+08
19,30,60,3.791017e+08
19,30,70,3.791017e+08
19,30,80,3.791017e+08
19,30,90,3.791017e+08
19,30,100,3.791017e+08
19,30,1,1.578501e+09
19,30,2,1.578501e+09
19,30,3,1.578501e+09
19,30,5,1.284762e+09
19,30,10,4.190770e+08
19,30,20,4.190770e+08
19,30,30,4.190770e+08
19,30,40,4.190770e+08
19,30,50,4.190770e+08
19,30,60,4.190770e+08
19,30,70,4.190770e+08
19,30,80,4.190770e+08
19,30,90,4.190770e+08
19,30,100,4.190770e+08
19,30,1,1.151418e+09
19,30,2,1.151418e+09
19,30,3,1.151418e+09
19,30,5,9.555782e+08
19,30,10,9.555782e+08
19,30,20,6.305793e+08
19,30,30,6.305793e+08
19,30,40,6.305793e+08
19,30,50,6.305793e+08
19,30,60,6.305793e+08
19,30,70,2.432639e+08
19,30,80,2.432639e+08
19,30,90,2.432639e+08
19,30,100,2.432639e+08
19,30,1,2.080745e+09
19,30,2,1.111665e+09
19,30,3,1.111665e+09
19,30,5,7.860945e+08
19,30,10,7.023506e+08
19,30,20,5.905256e+08
19,30,30,2.673502e+08
19,30,40,2.673502e+08
19,30,50,2.673502e+08
19,30,60,2.673502e+08
19,30,70,2.239308e+08
19,30,80,1.248577e+08
19,30,90,1.248577e+08
19,30,100,1.248577e+08
19,30,1,1.688889e+09
19,30,2,1.688889e+09
19,30,3,1.681111e+09
19,30,5,8.030855e+08
19,30,10,8.030855e+08
19,30,20,4.231044e+08
19,30,30,4.231044e+08
19,30,40,4.231044e+08
19,30,50,4.231044e+08
19,30,60,4.231044e+08
19,30,70,4.231044e+08
19,30,80,4.231044e+08
19,30,90,4.231044e+08
19,30,100,2.633879e+08
19,30,1,1.118029e+09
19,30,2,1.118029e+09
19,30,3,1.118029e+09
19,30,5,1.118029e+09
19,30,10,8.661341e+08
19,30,20,8.030860e+08
19,30,30,8.030860e+08
19,30,40,6.290737e+08
19,30,50,6.290737e+08
19,30,60,6.290737e+08
19,30,70,4.022759e+08
19,30,80,4.022759e+08
19,30,90,4.022759e+08
19,30,100,3.762292e+08
19,30,1,1.190716e+09
19,30,2,1.190716e+09
19,30,3,1.190716e+09
19,30,5,1.101941e+09
19,30,10,1.101941e+09
19,30,20,8.265680e+08
19,30,30,4.156446e+08
19,30,40,4.156446e+08
19,30,50,4.156446e+08
19,30,60,4.156446e+08
19,30,70,4.156446e+08
19,30,80,3.841509e+08
19,30,90,3.841509e+08
19,30,100,3.841509e+08
19,30,1,2.859991e+09
19,30,2,1.947630e+09
19,30,3,1.200660e+09
19,30,5,1.200660e+09
19,30,10,7.451400e+08
19,30,20,7.451400e+08
19,30,30,4.166674e+08
19,30,40,4.166674e+08
19,30,50,4.166674e+08
19,30,60,3.777995e+08
19,30,70,3.777995e+08
19,30,80,3.777995e+08
19,30,90,3.489576e+08
19,30,100,3.489576e+08
19,30,1,1.477931e+09
19,30,2,1.247390e+09
19,30,3,1.240954e+09
19,30,5,1.240954e+09
19,30,10,1.240954e+09
19,30,20,9.793903e+08
19,30,30,7.010296e+08
19,30,40,6.416821e+08
19,30,50,6.416821e+08
19,30,60,1.593073e+08
19,30,70,1.593073e+08
19,30,80,1.593073e+08
19,30,90,1.593073e+08
19,30,100,1.593073e+08
19,30,1,7.733542e+07
19,30,2,7.733542e+07
19,30,3,7.733542e+07
19,30,5,7.733542e+07
19,30,10,7.733542e+07
19,30,20,7.733542e+07
19,30,30,7.733542e+07
19,30,40,7.733542e+07
19,30,50,7.733542e+07
19,30,60,5.347101e+07
19,30,70,5.347101e+07
19,30,80,3.568845e+07
19,30,90,3.304277e+07
19,30,100,3.304277e+07
19,30,1,4.830776e+07
19,30,2,3.365026e+07
19,30,3,3.365026e+07
19,30,5,3.365026e+07
19,30,10,3.365026e+07
19,30,20,3.365026e+07
19,30,30,3.365026e+07
19,30,40,3.365026e+07
19,30,50,3.365026e+07
19,30,60,3.365026e+07
19,30,70,3.365026e+07
19,30,80,3.365026e+07
19,30,90,3.365026e+07
19,30,100,3.365026e+07
19,30,1,3.740956e+07
19,30,2,3.740956e+07
19,30,3,3.740956e+07
19,30,5,3.740956e+07
19,30,10,3.740956e+07
19,30,20,2.058509e+07
19,30,30,2.058509e+07
19,30,40,2.058509e+07
19,30,50,2.058509e+07
19,30,60,2.058509e+07
19,30,70,2.058509e+07
19,30,80,2.058509e+07
19,30,90,2.058509e+07
19,30,100,2.058509e+07
