funcid,dim,milestone,error
17,30,1,8.638564e+02
17,30,2,8.560540e+02
17,30,3,7.283344e+02
17,30,5,6.995086e+02
17,30,10,6.912565e+02
17,30,20,6.912565e+02
17,30,30,6.912565e+02
17,30,40,6.346012e+02
17,30,50,2.596186e+02
17,30,60,2.596186e+02
17,30,70,2.596186e+02
17,30,80,2.596186e+02
17,30,90,2.596186e+02
17,30,100,2.596186e+02
17,30,1,1.038890e+03
17,30,2,7.909047e+02
17,30,3,7.803678e+02
17,30,5,7.751241e+02
17,30,10,7.751241e+02
17,30,20,7.751241e+02
17,30,30,4.255517e+02
17,30,40,2.722388e+02
17,30,50,2.722388e+02
17,30,60,2.722388e+02
17,30,70,2.722388e+02
17,30,80,2.722388e+02
17,30,90,2.722388e+02
17,30,100,2.722388e+02
17,30,1,9.862675e+02
17,30,2,8.460970e+02
17,30,3,8.399531e+02
17,30,5,8.315533e+02
17,30,10,7.587186e+02
17,30,20,7.587186e+02
17,30,30,3.453163e+02
17,30,40,3.453163e+02
17,30,50,3.453163e+02
17,30,60,2.397800e+02
17,30,70,2.397800e+02
17,30,80,2.397800e+02
17,30,90,2.397800e+02
17,30,100,2.397800e+02
17,30,1,8.758151e+02
17,30,2,7.812266e+02
17,30,3,6.701312e+02
17,30,5,4.605605e+02
17,30,10,4.605605e+02
17,30,20,4.605605e+02
17,30,30,4.605605e+02
17,30,40,4.605605e+02
17,30,50,3.717712e+02
17,30,60,3.717712e+02
17,30,70,3.717712e+02
17,30,80,3.717712e+02
17,30,90,3.717712e+02
17,30,100,3.717712e+02
17,30,1,9.890041e+02
17,30,2,9.821980e+02
17,30,3,9.674461e+02
17,30,5,9.388757e+02
17,30,10,9.388757e+02
17,30,20,5.872675e+02
17,30,30,4.565247e+02
17,30,40,4.565247e+02
17,30,50,2.616418e+02
17,30,60,2.616418e+02
17,30,70,2.616418e+02
17,30,80,2.616418e+02
17,30,90,2.616418e+02
17,30,100,2.616418e+02
17,30,1,9.333081e+02
17,30,2,8.277281e+02
17,30,3,8.277281e+02
17,30,5,6.976656e+02
17,30,10,6.976656e+02
17,30,20,6.976656e+02
17,30,30,4.841543e+02
17,30,40,4.841543e+02
17,30,50,4.841543e+02
17,30,60,4.841543e+02
17,30,70,4.841543e+02
17,30,80,4.841543e+02
17,30,90,4.841543e+02
17,30,100,3.234158e+02
17,30,1,8.967040e+02
17,30,2,8.023307e+02
17,30,3,5.010508e+02
17,30,5,4.938543e+02
17,30,10,4.658933e+02
17,30,20,4.658933e+02
17,30,30,4.047082e+02
17,30,40,4.047082e+02
17,30,50,3.858745e+02
17,30,60,3.858745e+02
17,30,70,3.858745e+02
17,30,80,3.858745e+02
17,30,90,2.744187e+02
17,30,100,2.744187e+02
17,30,1,7.614610e+02
17,30,2,7.548351e+02
17,30,3,7.192659e+02
17,30,5,7.004767e+02
17,30,10,6.970287e+02
17,30,20,6.970287e+02
17,30,30,4.846244e+02
17,30,40,4.846244e+02
17,30,50,4.846244e+02
17,30,60,4.824002e+02
17,30,70,4.824002e+02
17,30,80,4.567865e+02
17,30,90,4.567865e+02
17,30,100,4.567865e+02
17,30,1,9.084316e+02
17,30,2,9.074141e+02
17,30,3,9.074141e+02
17,30,5,8.988245e+02
17,30,10,8.874114e+02
17,30,20,6.192815e+02
17,30,30,3.898396e+02
17,30,40,3.898396e+02
17,30,50,3.898396e+02
17,30,60,3.898396e+02
17,30,70,3.898396e+02
17,30,80,3.898396e+02
17,30,90,3.898396e+02
17,30,100,3.898396e+02
17,30,1,8.359594e+02
17,30,2,8.267732e+02
17,30,3,8.094581e+02
17,30,5,8.077168e+02
17,30,10,8.077168e+02
17,30,20,8.077168e+02
17,30,30,3.720542e+02
17,30,40,3.720542e+02
17,30,50,3.720542e+02
17,30,60,3.720542e+02
17,30,70,3.720542e+02
17,30,80,3.720542e+02
17,30,90,3.720542e+02
17,30,100,3.720542e+02
