funcid,dim,milestone,error
8,10,1,1.272549e+02
8,10,2,1.093222e+02
8,10,3,5.925603e+01
8,10,5,5.697929e+01
8,10,10,5.697929e+01
8,10,20,5.697929e+01
8,10,30,5.261665e+01
8,10,40,5.261665e+01
8,10,50,5.261665e+01
8,10,60,5.261665e+01
8,10,70,5.261665e+01
8,10,80,5.261665e+01
8,10,90,5.261665e+01
8,10,100,5.261665e+01
8,10,1,1.272549e+02
8,10,2,1.215577e+02
8,10,3,1.215577e+02
8,10,5,1.215577e+02
8,10,10,1.180511e+02
8,10,20,6.782395e+01
8,10,30,6.782395e+01
8,10,40,5.768174e+01
8,10,50,5.768174e+01
8,10,60,5.768174e+01
8,10,70,4.784329e+01
8,10,80,4.784329e+01
8,10,90,4.784329e+01
8,10,100,4.784329e+01
8,10,1,1.272549e+02
8,10,2,1.097164e+02
8,10,3,9.539437e+01
8,10,5,9.539437e+01
8,10,10,8.504941e+01
8,10,20,6.445959e+01
8,10,30,6.445959e+01
8,10,40,4.992069e+01
8,10,50,4.992069e+01
8,10,60,4.992069e+01
8,10,70,4.992069e+01
8,10,80,4.992069e+01
8,10,90,4.992069e+01
8,10,100,4.069432e+01
8,10,1,1.272549e+02
8,10,2,8.818064e+01
8,10,3,8.818064e+01
8,10,5,6.626088e+01
8,10,10,6.626088e+01
8,10,20,6.019235e+01
8,10,30,6.019235e+01
8,10,40,6.019235e+01
8,10,50,6.019235e+01
8,10,60,6.019235e+01
8,10,70,5.298792e+01
8,10,80,5.298792e+01
8,10,90,5.298792e+01
8,10,100,5.298792e+01
8,10,1,1.272549e+02
8,10,2,1.103645e+02
8,10,3,1.011864e+02
8,10,5,8.824040e+01
8,10,10,8.824040e+01
8,10,20,7.596052e+01
8,10,30,5.436121e+01
8,10,40,5.436121e+01
8,10,50,5.436121e+01
8,10,60,4.293368e+01
8,10,70,4.293368e+01
8,10,80,4.293368e+01
8,10,90,4.293368e+01
8,10,100,4.293368e+01
8,10,1,1.272549e+02
8,10,2,6.912827e+01
8,10,3,6.912827e+01
8,10,5,6.912827e+01
8,10,10,6.423474e+01
8,10,20,6.423474e+01
8,10,30,6.423474e+01
8,10,40,6.423474e+01
8,10,50,6.423474e+01
8,10,60,6.423474e+01
8,10,70,4.866145e+01
8,10,80,4.866145e+01
8,10,90,4.866145e+01
8,10,100,4.866145e+01
8,10,1,1.272549e+02
8,10,2,1.250096e+02
8,10,3,1.250096e+02
8,10,5,1.017384e+02
8,10,10,7.702210e+01
8,10,20,7.135224e+01
8,10,30,6.653380e+01
8,10,40,6.653380e+01
8,10,50,6.653380e+01
8,10,60,5.962690e+01
8,10,70,5.962690e+01
8,10,80,5.962690e+01
8,10,90,5.962690e+01
8,10,100,5.962690e+01
8,10,1,1.272549e+02
8,10,2,1.239271e+02
8,10,3,1.239271e+02
8,10,5,1.220420e+02
8,10,10,9.401227e+01
8,10,20,5.329123e+01
8,10,30,5.329123e+01
8,10,40,5.329123e+01
8,10,50,5.329123e+01
8,10,60,5.329123e+01
8,10,70,5.329123e+01
8,10,80,5.329123e+01
8,10,90,5.329123e+01
8,10,100,5.329123e+01
8,10,1,1.272549e+02
8,10,2,1.135000e+02
8,10,3,1.135000e+02
8,10,5,1.100320e+02
8,10,10,9.610276e+01
8,10,20,8.622380e+01
8,10,30,6.816506e+01
8,10,40,6.816506e+01
8,10,50,5.969229e+01
8,10,60,5.969229e+01
8,10,70,5.969229e+01
8,10,80,5.969229e+01
8,10,90,5.266873e+01
8,10,100,4.116077e+01
8,10,1,1.272549e+02
8,10,2,1.272549e+02
8,10,3,1.272549e+02
8,10,5,7.900358e+01
8,10,10,7.798562e+01
8,10,20,6.151426e+01
8,10,30,6.151426e+01
8,10,40,6.151426e+01
8,10,50,6.151426e+01
8,10,60,6.151426e+01
8,10,70,4.871771e+01
8,10,80,4.871771e+01
8,10,90,4.871771e+01
8,10,100,4.871771e+01
