funcid,dim,milestone,error
1,30,1,1.694151e+10
1,30,2,1.694151e+10
1,30,3,1.421948e+10
1,30,5,1.069541e+10
1,30,10,1.069541e+10
1,30,20,9.785047e+09
1,30,30,8.773479e+09
1,30,40,8.773479e+09
1,30,50,8.149199e+09
1,30,60,8.149199e+09
1,30,70,7.767705e+09
1,30,80,5.690158e+09
1,30,90,5.690158e+09
1,30,100,5.690158e+09
1,30,1,1.526838e+10
1,30,2,1.042310e+10
1,30,3,1.042310e+10
1,30,5,1.006858e+10
1,30,10,1.006858e+10
1,30,20,7.484037e+09
1,30,30,7.484037e+09
1,30,40,7.484037e+09
1,30,50,7.484037e+09
1,30,60,7.484037e+09
1,30,70,7.484037e+09
1,30,80,7.234418e+09
1,30,90,7.234418e+09
1,30,100,7.234418e+09
1,30,1,2.433194e+10
1,30,2,1.171081e+10
1,30,3,1.171081e+10
1,30,5,1.171081e+10
1,30,10,7.783290e+09
1,30,20,7.783290e+09
1,30,30,6.713842e+09
1,30,40,6.713842e+09
1,30,50,6.713842e+09
1,30,60,6.713842e+09
1,30,70,6.713842e+09
1,30,80,6.713842e+09
1,30,90,6.713842e+09
1,30,100,6.713842e+09
1,30,1,1.467392e+10
1,30,2,1.139666e+10
1,30,3,1.139666e+10
1,30,5,1.139666e+10
1,30,10,8.557437e+09
1,30,20,8.557437e+09
1,30,30,7.897694e+09
1,30,40,7.897694e+09
1,30,50,7.897694e+09
1,30,60,7.897694e+09
1,30,70,6.017953e+09
1,30,80,6.017953e+09
1,30,90,6.017953e+09
1,30,100,6.017953e+09
1,30,1,2.007274e+10
1,30,2,1.739244e+10
1,30,3,1.640419e+10
1,30,5,1.539391e+10
1,30,10,9.434493e+09
1,30,20,8.417945e+09
1,30,30,7.646982e+09
1,30,40,6.985748e+09
1,30,50,6.985748e+09
1,30,60,6.985748e+09
1,30,70,6.985748e+09
1,30,80,6.822104e+09
1,30,90,6.822104e+09
1,30,100,6.042972e+09
1,30,1,2.097933e+10
1,30,2,1.977881e+10
1,30,3,1.624460e+10
1,30,5,1.508621e+10
1,30,10,1.508393e+10
1,30,20,1.137703e+10
1,30,30,6.463278e+09
1,30,40,6.463278e+09
1,30,50,6.463278e+09
1,30,60,6.463278e+09
1,30,70,6.463278e+09
1,30,80,6.463278e+09
1,30,90,6.463278e+09
1,30,100,6.463278e+09
1,30,1,2.103950e+10
1,30,2,1.462142e+10
1,30,3,1.462142e+10
1,30,5,1.462142e+10
1,30,10,6.729791e+09
1,30,20,6.729791e+09
1,30,30,6.729791e+09
1,30,40,6.615290e+09
1,30,50,6.615290e+09
1,30,60,6.615290e+09
1,30,70,6.615290e+09
1,30,80,6.615290e+09
1,30,90,6.615290e+09
1,30,100,6.615290e+09
1,30,1,1.834593e+10
1,30,2,1.011794e+10
1,30,3,1.011794e+10
1,30,5,1.011794e+10
1,30,10,1.011794e+10
1,30,20,8.431649e+09
1,30,30,8.431649e+09
1,30,40,8.431649e+09
1,30,50,6.617402e+09
1,30,60,5.263921e+09
1,30,70,5.263921e+09
1,30,80,5.263921e+09
1,30,90,5.263921e+09
1,30,100,5.263921e+09
1,30,1,2.230077e+10
1,30,2,1.990809e+10
1,30,3,1.249347e+10
1,30,5,1.081144e+10
1,30,10,9.272888e+09
1,30,20,7.993075e+09
1,30,30,7.762882e+09
1,30,40,7.762882e+09
1,30,50,7.762882e+09
1,30,60,7.761436e+09
1,30,70,7.761436e+09
1,30,80,7.193376e+09
1,30,90,7.193376e+09
1,30,100,7.193376e+09
1,30,1,1.782784e+10
1,30,2,1.256818e+10
1,30,3,7.837764e+09
1,30,5,7.837764e+09
1,30,10,7.837764e+09
1,30,20,7.837764e+09
1,30,30,7.837764e+09
1,30,40,6.166180e+09
1,30,50,6.166180e+09
1,30,60,6.166180e+09
1,30,70,6.166180e+09
1,30,80,6.166180e+09
1,30,90,6.166180e+09
1,30,100,6.166180e+09
1,30,1,1.694151e+10
1,30,2,1.694151e+10
1,30,3,1.421948e+10
1,30,5,1.069541e+10
1,30,10,1.069541e+10
1,30,20,9.785047e+09
1,30,30,8.773479e+09
1,30,40,8.773479e+09
1,30,50,8.149199e+09
1,30,60,8.149199e+09
1,30,70,7.767705e+09
1,30,80,5.690158e+09
1,30,90,5.690158e+09
1,30,100,5.690158e+09
1,30,1,1.526838e+10
1,30,2,1.042310e+10
1,30,3,1.042310e+10
1,30,5,1.006858e+10
1,30,10,1.006858e+10
1,30,20,7.484037e+09
1,30,30,7.484037e+09
1,30,40,7.484037e+09
1,30,50,7.484037e+09
1,30,60,7.484037e+09
1,30,70,7.484037e+09
1,30,80,7.234418e+09
1,30,90,7.234418e+09
1,30,100,7.234418e+09
1,30,1,2.433194e+10
1,30,2,1.171081e+10
1,30,3,1.171081e+10
1,30,5,1.171081e+10
1,30,10,7.783290e+09
1,30,20,7.783290e+09
1,30,30,6.713842e+09
1,30,40,6.713842e+09
1,30,50,6.713842e+09
1,30,60,6.713842e+09
1,30,70,6.713842e+09
1,30,80,6.713842e+09
1,30,90,6.713842e+09
1,30,100,6.713842e+09
1,30,1,1.467392e+10
1,30,2,1.139666e+10
1,30,3,1.139666e+10
1,30,5,1.139666e+10
1,30,10,8.557437e+09
1,30,20,8.557437e+09
1,30,30,7.897694e+09
1,30,40,7.897694e+09
1,30,50,7.897694e+09
1,30,60,7.897694e+09
1,30,70,6.017953e+09
1,30,80,6.017953e+09
1,30,90,6.017953e+09
1,30,100,6.017953e+09
1,30,1,2.007274e+10
1,30,2,1.739244e+10
1,30,3,1.640419e+10
1,30,5,1.539391e+10
1,30,10,9.434493e+09
1,30,20,8.417945e+09
1,30,30,7.646982e+09
1,30,40,6.985748e+09
1,30,50,6.985748e+09
1,30,60,6.985748e+09
1,30,70,6.985748e+09
1,30,80,6.822104e+09
1,30,90,6.822104e+09
1,30,100,6.042972e+09
1,30,1,2.097933e+10
1,30,2,1.977881e+10
1,30,3,1.624460e+10
1,30,5,1.508621e+10
1,30,10,1.508393e+10
1,30,20,1.137703e+10
1,30,30,6.463278e+09
1,30,40,6.463278e+09
1,30,50,6.463278e+09
1,30,60,6.463278e+09
1,30,70,6.463278e+09
1,30,80,6.463278e+09
1,30,90,6.463278e+09
1,30,100,6.463278e+09
1,30,1,2.103950e+10
1,30,2,1.462142e+10
1,30,3,1.462142e+10
1,30,5,1.462142e+10
1,30,10,6.729791e+09
1,30,20,6.729791e+09
1,30,30,6.729791e+09
1,30,40,6.615290e+09
1,30,50,6.615290e+09
1,30,60,6.615290e+09
1,30,70,6.615290e+09
1,30,80,6.615290e+09
1,30,90,6.615290e+09
1,30,100,6.615290e+09
1,30,1,1.834593e+10
1,30,2,1.011794e+10
1,30,3,1.011794e+10
1,30,5,1.011794e+10
1,30,10,1.011794e+10
1,30,20,8.431649e+09
1,30,30,8.431649e+09
1,30,40,8.431649e+09
1,30,50,6.617402e+09
1,30,60,5.263921e+09
1,30,70,5.263921e+09
1,30,80,5.263921e+09
1,30,90,5.263921e+09
1,30,100,5.263921e+09
1,30,1,2.230077e+10
1,30,2,1.990809e+10
1,30,3,1.249347e+10
1,30,5,1.081144e+10
1,30,10,9.272888e+09
1,30,20,7.993075e+09
1,30,30,7.762882e+09
1,30,40,7.762882e+09
1,30,50,7.762882e+09
1,30,60,7.761436e+09
1,30,70,7.761436e+09
1,30,80,7.193376e+09
1,30,90,7.193376e+09
